id,other_id,int_area_m2
5036,5038,13637.964111118938
2005,2006,9339.195977159714
5031,4036,8878.572641276263
3020,3015,5265.910581517927
2046,2047,4664.114133085235
3036,3035,4186.409072341303
1002,3060,3859.7865770802764
2074,2072,2532.3154893894794
3020,3014,2464.80992548719
5020,5021,2016.8814853692152
14014,2135,1931.9893151632527
5090,5093,1871.281457318994
2008,2009,1672.5341978563997
5129,6052,1554.4212515539964
2034,2035,1498.560993078142
2129,7022,1382.6122490632806
2041,2042,1206.304468008359
3027,3030,1144.8888034349907
3057,3058,961.1891109282533
2132,7022,823.9684714548666
3058,3060,577.0563022003638
9064,9073,396.07658450177337
5034,5033,300.01032683098447
2128,7022,290.8558646240149
6103,6102,212.0100127143766
3014,3023,199.6657297292246
2110,2111,193.49640302867056
4038,5025,180.10037435915447
9097,9110,177.72932910504463
5053,5051,161.8559997368424
2150,14007,153.39609826204128
2133,14014,145.14889769391573
6040,6045,126.86680452817255
3041,3042,102.15391701691621
3043,3041,79.03586737778008
3056,3058,62.941057149133805
4027,5073,61.28430005546896
9015,9016,59.908886321502195
14015,14016,47.73099392716808
9099,9110,40.49431181969448
6033,6034,31.27811492618766
2144,2150,28.461740989710236
4027,4026,24.89236392488447
5141,6045,21.79086220807878
2102,2101,20.256381183250074
6053,6077,19.53661990005467
5054,5068,14.162518941063968
9002,9003,14.022046032475519
5053,5069,13.92414146479362
2086,2088,13.664160406162187
5071,5072,13.50671331213237
9023,9024,12.359454836225686
7022,7023,12.066455466311782
2136,14014,11.939728340175906
2135,2133,11.57871571472868
4028,5051,11.230535273585371
5123,5129,10.951082919026538
4027,6108,10.546769460982171
5123,6077,10.111223362678093
