crt_nr,crt_name,crt_region,other_nr,int_area_m2
2129,Kesselwand Ferner,Oetztaler_Alpen,7022,739.3342278373398
9064,Floiten Kees,Zillertaler_Alpen,9073,396.11747053755016
2128,Hintereiswände,Oetztaler_Alpen,7022,295.45229159300777
2132,Guslar Ferner gr.,Oetztaler_Alpen,7022,197.44901517270856
2110,Marzell Ferner,Oetztaler_Alpen,2111,194.96541022416332
9097,Grosser Riepen Kees,Zillertaler_Alpen,9110,177.72932910504463
2150,Rettenbach Ferner,Oetztaler_Alpen,14007,154.23188748710427
2133,Vernagt Ferner,Oetztaler_Alpen,14014,147.9275619941905
1002,Lisenser Ferner,Stubaier_Alpen,3060,127.12774438603759
6039,Althaus Kees,Venedigergruppe,6040,79.36821035108441
4027,Pasterzen Kees,Glocknergruppe,5073,75.89473206989884
9015,Ziller Kees,Zillertaler_Alpen,9016,59.90682163441053
14015,Taschach Ferner W,Oetztaler_Alpen,14016,47.726283140742
2135,Mitterkar Ferner,Oetztaler_Alpen,14014,42.41320906317914
9099,Friesenberg Kees,Zillertaler_Alpen,9110,40.48459025328636
3015,Aperer Feuerstein Ferner E1,Stubaier_Alpen,3020,32.99362349519399
6033,Welitz Kees S,Venedigergruppe,6034,31.278111424329463
2144,Seiter Ferner,Oetztaler_Alpen,2150,28.45938629878576
5141,Krimmler Kees,Venedigergruppe,6045,21.971930112911974
6053,Rainer Kees,Venedigergruppe,6077,20.626860322185216
2101,Diem Ferner E1,Oetztaler_Alpen,2102,20.256881406638005
2086,Loob Ferner,Oetztaler_Alpen,2088,16.425895153610973
5054,Teufelsmühl Kees,Glocknergruppe,5068,14.159611321359774
5053,Hochgruber Kees,Glocknergruppe,5069,13.924141282733155
9023,Rauchkofel Kees S2,Zillertaler_Alpen,9024,12.35944477695226
7022,Gepatsch Ferner,Oetztaler_Alpen,7023,12.067384870513836
2136,Rofenkar Ferner,Oetztaler_Alpen,14014,11.939832416476564
5129,Obersulzbach Kees,Venedigergruppe,6052,11.77156983586157
5123,Untersulzbach Kees,Venedigergruppe,5129,10.951084332988113
2034,Wütenkar Ferner,Stubaier_Alpen,2035,10.55656100014189
2041,Triebenkarlas Ferner,Stubaier_Alpen,2042,10.366448253382243
3057,Turm Ferner,Stubaier_Alpen,3058,10.265402943932518
5123,Untersulzbach Kees,Venedigergruppe,6077,10.111216817007678
2062,Rotmoos Ferner N,Oetztaler_Alpen,2063,9.52141164364118
4027,Pasterzen Kees,Glocknergruppe,6108,8.843356663314733
4028,Wasserfallwinkel,Glocknergruppe,5051,8.006094914439771
9008,Schönach Kees M,Zillertaler_Alpen,9009,7.379549830433447
7015,Bligg Ferner S,Oetztaler_Alpen,14018,6.635927976562923
5123,Untersulzbach Kees,Venedigergruppe,6053,6.246196442907795
6046,Maurer Kees W,Venedigergruppe,6048,6.040855390364951
4027,Pasterzen Kees,Glocknergruppe,5093,5.903528909791158
2046,Hangender Ferner,Stubaier_Alpen,2047,5.670424944367712
2072,Langtaler Ferner,Oetztaler_Alpen,2074,5.356610306427714
2037,Windacher Ferner,Stubaier_Alpen,2039,5.120822167800572
3002,Wildlahner Ferner,Zillertaler_Alpen,9110,5.093478819783607
5097,Sonnblick Kees,Granatspitzgruppe,6092,5.016219702173686
3058,Berglas Ferner,Stubaier_Alpen,3060,4.546565205165981
11001,Schladminger Gletscher,Dachstein,11002,4.482120811129526
3002,Wildlahner Ferner,Zillertaler_Alpen,3003,3.672001033040769
6108,Fruschnitz Kees,Glocknergruppe,6110,3.6319749830376846
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,14003,3.5449056178701284
3056,Verborgen Berg Ferner,Stubaier_Alpen,3058,3.5095868270653643
2022,Sulztal Ferner,Stubaier_Alpen,2036,3.197832243759165
7014,Bligg Ferner N,Oetztaler_Alpen,7015,2.5969496650164743
5117,Habach Kees,Venedigergruppe,6081,2.314849984674322
5077,Hochweissenfeld Kees,Glocknergruppe,5085,2.289955238460183
2040,Pfaffen Ferner,Stubaier_Alpen,3032,2.2217143707767395
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,2165,2.1301362547021134
2063,Rotmoos Ferner,Oetztaler_Alpen,2068,2.1186591643931956
4026,Hofmanns Kees,Glocknergruppe,4027,2.103515532155408
3014,Simming Ferner W,Stubaier_Alpen,3023,1.983491009472024
12007,Vermunt Gletscher,Silvrettagruppe,13019,1.7117440486807902
15002,Fallende Bach Ferner M,Oetztaler_Alpen,15003,1.3673118147119572
3027,Westlicher Grübl Ferner W,Stubaier_Alpen,3030,1.0640691435544425
7030,Riffl Ferner,Oetztaler_Alpen,8001,0.9648269150762133
14039,Neururer Ferner N,Oetztaler_Alpen,14040,0.5844117333257861
2008,Grastal Ferner,Stubaier_Alpen,2009,0.5558223358003029
4027,Pasterzen Kees,Glocknergruppe,6107,0.3209999680278077
6088,Daber Kees N,Granatspitzgruppe,6090,0.31370548624153183
2083,NN,Oetztaler_Alpen,2090,0.1994726958934507
2164,Äusserer Pirchelkar Ferner S,Oetztaler_Alpen,14002,0.16301046131075575
6074,Knorr Kees W,Venedigergruppe,6075,0.11416801078822347
7012,Wazebach Ferner,Oetztaler_Alpen,14032,0.02214407711164064
5137,Schliefer Kees N,Venedigergruppe,5138,0.021615531695316006
9040,Grasleiten Kees S,Zillertaler_Alpen,9055,0.012167794695182628
3035,Schaufel Ferner,Stubaier_Alpen,3036,0.0005005773088003669
9086,Furtschagl Kees,Zillertaler_Alpen,9087,0.00018002981346398883
6107,Laperwitz Kees,Glocknergruppe,6108,0.000135383541248302
9101,Federbett Kees,Zillertaler_Alpen,9106,0.0001228926161038185
14008,Mittelberg Ferner,Oetztaler_Alpen,14014,8.723407913896475e-05
5077,Hochweissenfeld Kees,Glocknergruppe,5086,6.970312209375606e-05
2022,Sulztal Ferner,Stubaier_Alpen,2034,6.14775594461451e-05
6035,Welitz Kees N1,Venedigergruppe,6036,4.585996110207802e-05
2036,Warenkar Ferner,Stubaier_Alpen,2037,4.4515560201574544e-05
6077,Schlaten Kees,Venedigergruppe,6078,2.5862608912077113e-05
5073,Karlinger Kees,Glocknergruppe,5093,2.443950013120144e-05
4036,Kleiner Fleiss Kees,Sonnblickgruppe,5031,2.416886569034382e-05
6102,Kalser Tauern Kees S,Granatspitzgruppe,6103,1.52610740671342e-05
6080,NN,Venedigergruppe,6081,8.365389775972534e-06
5123,Untersulzbach Kees,Venedigergruppe,6078,1.7555056519569234e-06
4027,Pasterzen Kees,Glocknergruppe,5051,1.2611284803121237e-06
